num_timely_payments,num_delayed_payments,num_defaults,payment_history_months,credit_utilization_ratio,credit_limit_total,outstanding_balance,num_credit_cards,credit_history_years,age_oldest_account_years,avg_account_age_years,num_bank_accounts,num_loans,has_mortgage,has_auto_loan,loan_types_count,num_credit_inquiries_6m,num_new_accounts_12m,months_since_last_inquiry,age,monthly_income,employment_length_years,total_debt,debt_to_income_ratio,payment_consistency_score,income_stability_score,cibil_score,score_category
80,8,0,313,8.644735538646014,228316,19737,5,18,17,9,6,5,0,0,1,6,3,44,51,117480,15,27369,23.29673135852911,89.8876404494382,29.411764705882355,770,Excellent
32,19,4,198,48.50045744601226,335844,162885,2,9,5,6,3,4,0,0,1,10,5,14,33,118992,8,278683,234.20313970687104,61.53846153846154,24.242424242424242,503,Poor
44,17,2,164,55.53985137928875,242674,134780,1,9,7,4,3,7,0,0,1,9,5,33,37,138882,8,226261,162.91600063363143,70.96774193548387,21.62162162162162,587,Fair
27,21,2,157,60.342564699965074,48630,29344,1,7,6,4,4,7,0,0,1,10,4,14,41,91124,4,45384,49.804661779553136,55.10204081632652,9.75609756097561,487,Poor
47,19,1,142,45.704475607527556,261148,119356,3,15,12,7,2,2,0,0,1,11,5,18,36,133406,13,198179,148.5532884577905,70.1492537313433,36.11111111111111,575,Fair
61,15,1,224,52.35849415643836,493618,258450,4,7,6,3,3,3,0,0,1,9,4,22,44,94369,12,511924,300.0,79.22077922077922,27.27272727272727,621,Fair
38,16,5,186,49.56655011494111,339169,168114,2,5,4,3,3,1,0,0,1,12,3,21,37,90895,9,223923,246.3534847901425,69.0909090909091,24.324324324324326,509,Poor
69,8,1,261,26.99480471751832,571215,154198,4,12,10,8,5,0,1,0,1,4,2,45,49,106180,11,217873,205.1921265775099,88.46153846153845,22.448979591836736,770,Excellent
63,10,1,217,38.58246559366544,356241,137446,3,18,15,11,5,4,1,1,3,4,2,46,42,131104,17,210365,160.45658408591652,85.13513513513513,40.476190476190474,716,Good
93,9,1,309,29.131102144033242,468298,136420,6,23,22,14,4,6,0,1,2,3,0,43,60,194022,21,142618,73.50609724670399,90.29126213592234,35.0,811,Excellent
56,10,0,276,40.357816276541115,374024,150947,3,10,7,6,5,7,1,1,3,8,4,32,58,112682,9,274055,243.21098312064038,83.5820895522388,15.517241379310345,699,Good
41,14,2,169,60.63727273088827,269696,163536,2,12,11,8,2,1,0,0,1,8,5,28,46,122064,10,282001,231.02716607681216,73.21428571428571,21.73913043478261,573,Fair
90,9,0,290,22.762920519958932,244184,55583,4,17,10,9,4,2,0,0,1,5,1,44,51,111126,12,61174,55.04922340406385,90.0,23.52941176470588,801,Excellent
3,23,5,70,68.47955940437375,30000,20543,2,2,1,1,1,2,0,0,1,13,5,9,36,48824,9,38059,77.95141733573652,11.11111111111111,25.0,379,Poor
25,17,5,172,62.336078227738724,445058,277431,2,7,5,3,2,5,0,0,1,10,3,27,34,78384,13,505337,300.0,58.139534883720934,38.23529411764706,512,Poor
8,24,5,87,89.71371271071513,61682,55337,2,2,1,1,1,3,0,0,1,14,5,18,32,83265,9,92586,111.19437939110071,24.242424242424242,28.125,374,Poor
35,17,3,168,76.9370305656551,179335,137975,1,10,7,4,2,3,0,0,1,10,6,29,42,78297,5,224964,287.3213533085559,66.0377358490566,11.904761904761903,478,Poor
24,20,4,125,62.64838494853983,346689,217195,4,7,6,4,4,6,0,0,1,11,4,24,43,49096,4,343729,300.0,53.333333333333336,9.30232558139535,474,Poor
47,20,5,211,68.78317714482813,251921,173279,3,13,11,5,2,2,0,0,1,10,5,15,42,56596,7,254582,300.0,69.11764705882352,16.666666666666664,530,Poor
64,11,0,194,32.500858863175694,200663,65217,3,18,16,10,3,5,0,1,2,6,2,42,45,100047,11,113105,113.05186562315713,84.21052631578947,24.444444444444443,680,Good
43,18,5,159,74.61302871678357,127663,95253,3,13,12,9,2,5,0,0,1,10,5,16,32,63159,12,182020,288.1932899507592,69.35483870967742,37.5,504,Poor
36,20,2,196,54.735063904399595,375088,205304,2,8,5,6,4,1,0,0,1,12,5,21,42,148243,12,281529,189.91048481209904,63.1578947368421,28.57142857142857,496,Poor
47,13,0,152,46.687346421285554,418379,195330,4,6,5,4,2,6,0,0,1,10,5,22,46,100728,9,228070,226.42165038519576,77.04918032786885,19.565217391304348,573,Fair
14,21,3,61,100.0,183896,183896,3,5,4,3,2,1,0,0,1,15,7,9,40,92457,3,150320,162.5836875520512,38.88888888888889,7.5,379,Poor
78,14,0,293,42.31668293102797,549857,232681,4,17,12,7,4,4,0,0,1,5,1,45,47,96059,13,246873,257.00142620681044,83.87096774193549,27.659574468085108,708,Good
8,26,4,96,98.94496843111989,226891,224497,3,1,0,0,1,0,0,0,0,12,4,25,27,102578,11,250265,243.9753163446353,22.857142857142858,40.74074074074074,402,Poor
98,9,1,270,0.007677728582116572,421607,32,6,17,11,7,5,3,1,0,2,1,2,50,60,194633,20,56,0.028772099284294028,90.74074074074075,33.33333333333333,828,Excellent
74,11,1,264,49.88193744369071,461457,230183,4,14,10,6,3,5,1,1,3,7,3,30,53,178712,16,279670,156.4920094901294,86.04651162790698,30.18867924528302,707,Good
22,23,2,94,80.26747741080845,429766,344962,4,8,6,3,3,3,0,0,1,11,4,11,37,104238,10,679914,300.0,47.82608695652174,27.027027027027028,477,Poor
18,19,2,73,83.95599889316333,98971,83092,1,2,1,0,3,5,0,0,1,14,4,20,37,133257,3,114223,85.71632259468545,47.368421052631575,8.108108108108109,418,Poor
65,13,2,225,15.010036072002165,501788,75318,4,17,12,11,4,0,1,1,2,8,3,39,54,153082,17,106184,69.36413164186514,82.27848101265823,31.48148148148148,693,Good
78,10,1,223,14.076328645617501,445416,62698,5,11,10,6,3,4,0,1,2,6,3,33,45,183724,18,72521,39.47279615074786,87.64044943820225,40.0,708,Good
62,10,1,267,43.89791960776172,535761,235187,3,18,12,8,4,6,1,0,2,4,3,30,43,171601,19,401009,233.68686662665135,84.93150684931507,44.18604651162791,702,Good
63,13,1,290,38.42561643421481,205020,78780,5,20,12,9,3,1,1,0,2,4,2,28,52,118698,12,98718,83.16736592023454,81.81818181818183,23.076923076923077,710,Good
16,23,4,109,69.88008760980898,129050,90180,1,4,3,2,3,1,0,0,1,13,4,23,41,102174,11,120054,117.4995595748429,40.0,26.82926829268293,412,Poor
40,18,2,143,66.31848167355328,393486,260953,1,6,4,4,2,5,0,0,1,13,5,26,44,63499,8,474606,300.0,67.79661016949152,18.181818181818183,488,Poor
13,22,3,105,94.40540575837038,384622,363103,1,3,2,1,1,1,0,0,1,13,5,4,26,111197,6,454984,300.0,36.11111111111111,23.076923076923077,371,Poor
64,7,0,306,9.943940203303821,523616,52068,2,20,19,9,3,3,0,0,1,7,2,32,42,157353,11,77844,49.47093477722064,88.88888888888889,26.190476190476193,724,Good
41,19,0,188,60.41929939996871,321509,194253,1,9,6,5,4,1,0,0,1,10,5,33,36,98398,11,367166,300.0,67.21311475409836,30.555555555555557,580,Fair
27,18,5,151,62.06198871379856,407737,253049,3,8,6,6,2,3,0,0,1,10,3,14,41,109920,8,327668,298.09679767103347,58.69565217391305,19.51219512195122,504,Poor
9,27,5,45,69.46142134150712,166902,115932,0,8,6,5,1,5,0,0,1,15,7,5,40,119156,3,106053,89.00349122159186,24.324324324324326,7.5,386,Poor
42,22,2,168,51.37518563255689,318056,163401,1,8,6,5,2,0,0,0,0,10,5,23,41,96415,6,133477,138.44007675154282,64.61538461538461,14.634146341463413,511,Poor
40,15,4,160,58.73222285318239,123045,72267,2,14,13,10,4,2,0,0,1,11,3,15,44,58751,6,84748,144.24945958366666,71.42857142857143,13.636363636363635,530,Poor
54,12,0,266,43.054437536841256,374406,161198,5,12,9,8,3,6,1,0,2,8,4,26,53,178871,9,283601,158.55057555444984,80.59701492537313,16.9811320754717,672,Good
47,15,2,166,45.27369542109258,350301,158594,4,10,7,5,4,7,0,0,1,10,4,27,42,98739,12,283302,286.9200619815878,74.60317460317461,28.57142857142857,591,Fair
60,10,1,253,17.070332391127373,471089,80416,2,11,9,4,5,5,0,0,1,5,2,26,55,113040,17,80695,71.38623496107573,84.50704225352112,30.909090909090907,704,Good
52,18,2,181,64.7194001653358,214943,139109,3,15,14,6,4,3,0,0,1,7,3,20,39,94658,13,233136,246.29297048321325,73.23943661971832,33.33333333333333,590,Fair
16,21,4,106,84.34393989692103,250687,211439,2,1,0,0,1,0,0,0,0,12,7,21,32,106859,6,205251,192.07647460672476,42.10526315789473,18.75,394,Poor
72,11,1,270,23.316067208608946,288707,67315,5,18,13,9,5,4,0,0,1,6,2,38,42,127996,17,80613,62.98087440232507,85.71428571428571,40.476190476190474,708,Good
71,10,0,232,45.49911571137772,445382,202644,5,13,9,9,4,6,0,0,1,8,3,26,44,169134,10,222948,131.81737557203164,86.58536585365853,22.727272727272727,671,Good
44,14,1,164,48.45103908570233,86852,42080,3,13,8,10,3,5,0,0,1,11,4,34,39,111578,6,62886,56.36057287278854,74.57627118644068,15.384615384615385,570,Fair
63,13,2,275,31.801929472312512,232310,73879,4,17,14,13,4,5,1,1,3,7,3,37,44,96088,16,94666,98.52010656897843,81.81818181818183,36.36363636363637,676,Good
45,19,0,240,42.93776635382132,249035,106930,3,6,3,3,4,4,0,0,1,8,4,38,51,139349,8,175235,125.7526067643112,69.23076923076923,15.686274509803921,589,Fair
62,13,0,198,42.43789804346133,397736,168790,2,9,7,5,5,1,0,0,1,7,3,38,47,127592,14,278002,217.88356636779733,81.57894736842105,29.78723404255319,612,Fair
64,17,1,171,36.495183929788595,469197,171234,2,16,15,8,3,0,0,0,0,8,4,27,53,117539,13,165164,140.51846621121499,78.04878048780488,24.528301886792452,624,Fair
4,23,3,107,100.0,51597,51597,1,8,6,3,3,4,0,0,1,14,6,11,27,120530,5,86898,72.0965734671866,14.285714285714285,18.51851851851852,375,Poor
16,25,2,141,69.63455473539643,231145,160956,2,8,7,5,1,5,0,0,1,12,5,18,45,122145,12,260094,212.9387203733268,38.095238095238095,26.666666666666668,424,Poor
24,23,5,147,88.3823875269614,321043,283745,2,1,0,0,1,2,0,0,1,12,5,25,42,85939,3,343979,300.0,50.0,7.142857142857142,405,Poor
45,13,0,161,34.35294528178371,224430,77098,2,16,14,7,3,6,0,0,1,7,4,28,49,143258,9,145566,101.61107931145206,76.27118644067797,18.367346938775512,620,Fair
42,21,3,185,64.10531045640583,266535,170863,4,11,9,5,2,0,0,0,0,12,5,23,46,70860,8,163940,231.35760654812304,65.625,17.391304347826086,529,Poor
39,19,0,223,52.02389767899281,274996,143063,4,15,11,9,3,5,0,0,1,7,3,29,46,91153,16,115736,126.96894232773468,66.10169491525424,34.78260869565217,590,Fair
90,9,1,326,15.481609213545866,365321,56557,3,24,21,12,6,0,1,1,2,4,1,51,52,121082,22,63534,52.47187856163592,90.0,42.30769230769231,820,Excellent
37,19,4,190,58.423098114917494,393806,230073,2,14,10,7,3,3,0,0,1,12,4,16,39,129000,5,391363,300.0,64.91228070175438,12.82051282051282,515,Poor
59,17,1,249,64.16488947784981,441013,282975,5,7,6,4,4,0,0,1,1,8,4,21,42,86349,12,417693,300.0,76.62337662337663,28.57142857142857,604,Fair
66,10,0,247,24.415230244347335,387643,94643,4,15,13,8,5,4,0,1,2,6,3,45,55,177465,14,104485,58.87639816301806,85.71428571428571,25.454545454545453,705,Good
26,19,4,128,85.35519349639225,60025,51234,3,7,5,3,2,7,0,0,1,12,5,16,34,130728,4,60754,46.473594027293316,56.52173913043478,11.76470588235294,477,Poor
24,26,4,62,76.42019830901563,35015,26758,0,8,4,5,2,5,0,0,1,14,5,26,31,118382,4,21688,18.3203527563312,47.05882352941176,12.903225806451612,419,Poor
33,18,5,172,77.25770984643256,189453,146367,2,6,5,2,2,5,0,0,1,10,5,19,32,85553,13,130535,152.57793414608489,63.46153846153846,40.625,473,Poor
26,18,3,113,45.069395123443215,138468,62406,4,11,7,8,3,5,0,0,1,11,5,16,49,107757,11,80255,74.47776014551259,57.77777777777777,22.448979591836736,512,Poor
78,6,1,251,16.80570709695364,336562,56561,6,23,19,12,5,2,0,0,1,5,1,37,54,162339,12,109192,67.26171776344563,91.76470588235294,22.22222222222222,785,Excellent
59,16,0,190,43.98627720782845,372651,163915,5,18,15,9,3,0,0,1,1,7,3,41,39,142090,17,276314,194.4640720669998,77.63157894736842,43.58974358974359,672,Good
46,12,1,211,45.90439032407693,389228,178672,2,12,11,8,4,3,0,0,1,11,5,28,40,118095,11,347850,294.55099707862314,77.96610169491525,27.500000000000004,576,Fair
51,10,0,274,31.024306876219075,186789,57949,5,15,9,10,4,2,0,1,2,6,4,24,39,125196,12,70030,55.93629189430972,82.25806451612904,30.76923076923077,671,Good
71,13,0,264,34.21306583074705,367188,125626,4,9,7,4,3,2,1,0,2,6,2,34,44,114622,18,114549,99.93631240076077,83.52941176470588,40.909090909090914,670,Good
37,17,2,171,52.93045038828668,426485,225740,2,11,9,8,3,2,0,0,1,10,5,31,47,117680,11,373940,300.0,67.27272727272727,23.404255319148938,527,Poor
68,10,1,242,42.45622462871956,242045,102763,2,14,11,9,5,4,0,1,2,6,4,32,52,99010,15,184556,186.4013735986264,86.07594936708861,28.846153846153843,670,Good
61,12,2,175,30.799961881341357,135693,41793,3,8,7,3,4,0,0,0,0,7,4,27,42,126931,16,56011,44.12712418558114,82.43243243243244,38.095238095238095,607,Fair
74,8,0,270,43.24563451224262,365651,158128,5,13,8,5,5,2,0,0,1,7,1,43,50,135946,19,314713,231.49853618348462,89.1566265060241,38.0,720,Good
60,11,0,204,55.7328217909528,177035,98666,4,15,10,7,3,3,0,0,1,8,4,38,40,128351,11,133543,104.04515741988764,83.33333333333334,27.500000000000004,676,Good
30,20,2,123,54.45922551409457,363468,197941,4,11,9,7,2,6,0,0,1,11,4,29,34,89309,8,331675,300.0,58.82352941176471,23.52941176470588,493,Poor
2,28,5,54,76.6712759430508,259205,198735,0,3,2,2,1,4,0,0,1,13,5,16,24,84107,10,170920,203.21733030544428,6.451612903225806,41.66666666666667,374,Poor
27,17,2,146,86.28766120788379,210851,181938,2,4,2,2,4,7,0,0,1,12,6,30,47,130219,9,282201,216.71261490258718,60.0,19.148936170212767,490,Poor
50,19,1,205,37.06580812006656,101025,37445,3,15,11,6,2,2,0,0,1,10,4,30,41,140744,15,33312,23.668504518842724,71.42857142857143,36.58536585365854,597,Fair
63,9,2,233,19.753527198588746,241015,47608,4,9,8,4,5,1,0,1,2,5,3,41,42,150067,12,69190,46.106072620896,86.3013698630137,28.57142857142857,687,Good
73,9,2,270,46.230450732838214,490043,226549,2,11,7,6,5,4,0,1,2,5,4,31,50,116616,13,203372,174.39459422377718,87.95180722891565,26.0,693,Good
26,23,4,160,85.93976663471815,88671,76203,3,6,5,3,3,4,0,0,1,11,4,10,43,46451,6,95382,205.3389593334912,52.0,13.953488372093023,427,Poor
45,18,2,228,57.028030058983745,485058,276619,3,15,11,11,4,3,0,0,1,8,2,21,43,105974,9,405741,300.0,70.3125,20.930232558139537,601,Fair
52,14,0,157,36.73249217842904,363188,133408,5,8,6,4,3,1,0,1,2,10,2,39,37,123635,12,209393,169.3638532777935,77.61194029850746,32.432432432432435,614,Fair
41,20,4,197,61.3700746522271,211081,129540,1,9,5,6,4,4,0,0,1,11,4,29,37,99161,5,202459,204.17200310605983,66.12903225806451,13.513513513513514,502,Poor
21,22,5,111,73.20653294141084,67522,49430,1,3,2,1,1,5,0,0,1,13,6,5,42,28296,9,48316,170.75204975968333,47.72727272727273,21.428571428571427,379,Poor
36,20,2,105,56.79750348168456,96230,54656,1,3,1,1,4,4,0,0,1,11,4,19,30,69784,5,96041,137.62610340479193,63.1578947368421,16.666666666666664,478,Poor
90,4,1,337,13.493961810305727,550677,74308,3,19,17,9,6,7,1,0,2,5,0,36,59,118230,12,71112,60.1471707688404,94.73684210526315,20.33898305084746,818,Excellent
38,20,3,104,73.2417670673663,131627,96405,4,6,5,2,2,0,0,0,0,12,5,26,49,126151,13,153211,121.45048394384507,64.40677966101694,26.53061224489796,502,Poor
53,12,2,196,42.49553568521784,236420,100467,2,10,9,7,4,0,0,0,0,10,3,22,44,84111,9,129808,154.329398057329,80.3030303030303,20.454545454545457,602,Fair
59,13,2,257,36.34779343365065,218856,79549,3,13,11,6,5,1,1,0,2,6,2,43,52,141238,15,113632,80.4542686812331,80.82191780821918,28.846153846153843,676,Good
25,18,2,91,65.10096133823419,418261,272291,3,2,1,0,4,2,0,0,1,12,6,19,37,44823,6,343980,300.0,56.81818181818182,16.216216216216218,473,Poor
73,10,0,330,33.757927996626705,590062,199192,4,17,13,10,5,6,1,1,3,5,3,42,53,169849,17,203815,119.99776271865011,86.90476190476191,32.075471698113205,797,Excellent
77,7,1,268,26.136374101310277,385031,100633,4,14,8,6,6,6,0,0,1,2,1,51,57,130851,16,181622,138.80062055314824,90.58823529411765,28.07017543859649,792,Excellent
39,17,2,204,68.00611856832222,457832,311353,1,11,6,8,3,1,0,0,1,10,5,25,49,126619,7,522509,300.0,68.42105263157895,14.285714285714285,522,Poor
52,12,1,150,59.04612758060575,406285,239895,5,15,11,7,3,0,0,0,0,10,3,20,43,107190,16,365894,300.0,80.0,37.2093023255814,601,Fair
45,20,2,178,55.21823449653762,118975,65695,2,12,9,7,2,1,0,0,1,12,4,21,33,135132,9,129530,95.85442382263268,68.18181818181817,27.27272727272727,513,Poor
31,17,2,152,86.35840987126468,434055,374842,3,12,8,9,2,7,0,0,1,10,5,17,31,116734,13,417119,300.0,63.26530612244898,41.935483870967744,485,Poor
10,22,5,78,68.81289910755785,141822,97591,1,5,4,2,3,3,0,0,1,14,6,10,38,76828,7,104695,136.2719321080856,30.303030303030305,18.421052631578945,415,Poor
64,15,0,226,31.523421178614818,460755,145245,2,15,14,6,4,7,0,0,1,9,3,29,41,133890,8,208382,155.63671670774517,80.0,19.51219512195122,624,Fair
55,16,2,195,69.7400234062361,488704,340822,1,15,13,11,3,4,0,0,1,9,4,23,35,151512,9,645615,300.0,76.38888888888889,25.71428571428571,579,Fair
14,22,4,76,76.56315768032172,195848,149947,0,9,7,4,2,2,0,0,1,15,7,17,41,43950,8,277058,300.0,37.83783783783784,19.51219512195122,383,Poor
40,21,3,128,79.2678790526568,387866,307453,1,9,6,6,4,5,0,0,1,12,3,18,33,140208,11,363741,259.4295617939062,64.51612903225806,33.33333333333333,508,Poor
79,7,1,267,7.73965335717685,441861,34198,6,23,15,13,4,7,1,1,3,3,1,41,62,181129,13,51818,28.608339912438097,90.80459770114942,20.967741935483872,805,Excellent
29,16,4,126,57.945595709142566,267635,155082,2,5,4,3,4,3,0,0,1,11,3,15,36,77531,8,265692,300.0,63.04347826086957,22.22222222222222,503,Poor
10,23,4,137,100.0,240684,240684,1,6,4,2,2,5,0,0,1,13,5,19,38,62760,4,398954,300.0,29.411764705882355,10.526315789473683,393,Poor
57,18,2,147,70.77865789124812,276283,195549,2,16,13,11,3,0,0,0,0,7,5,36,48,113179,15,220705,195.0052571590136,75.0,31.25,587,Fair
73,11,1,263,37.63832748398376,307746,115830,4,19,18,12,6,7,1,1,3,4,1,48,55,186022,19,141864,76.26194751158465,85.88235294117646,34.54545454545455,785,Excellent
45,16,4,118,50.48806163472287,116436,58786,2,6,4,2,3,5,0,0,1,11,4,29,38,73135,6,66247,90.5818007793806,72.58064516129032,15.789473684210526,510,Poor
49,12,2,225,51.86770935552864,121775,63161,4,10,8,5,4,6,0,0,1,7,3,23,51,76060,11,62695,82.42834604259795,79.03225806451613,21.568627450980394,606,Fair
62,9,0,282,13.12460851557313,241267,31665,2,14,12,10,3,7,0,0,1,6,1,41,46,102382,12,28085,27.431579769881427,86.11111111111111,26.08695652173913,710,Good
31,20,4,176,75.12525890515062,437674,328803,4,9,5,5,3,0,0,0,0,11,5,17,43,51997,13,608242,300.0,59.61538461538461,30.23255813953488,494,Poor
66,12,1,281,44.01157352998287,324835,142964,3,13,8,5,3,0,0,1,1,7,3,28,52,89025,16,250717,281.6253861274923,83.54430379746836,30.76923076923077,677,Good
29,20,5,191,87.52635841319155,212325,185840,2,10,9,7,4,7,0,0,1,12,6,30,37,64473,13,240525,300.0,57.99999999999999,35.13513513513514,493,Poor
